year,total_pop,labor_force,employed,unemployed
1947,101827,59350,57038,2311
1948,103068,60621,58343,2276
1949,103994,61286,57651,3637
1950,104995,62208,58918,3288
1951,104621,62017,59961,2055
1952,105231,62138,60250,1883
1953,107056,63015,61179,1834
1954,108321,63643,60109,3532
1955,109683,65023,62170,2852
1956,110954,66552,63799,2750
1957,112265,66929,64071,2859
1958,113727,67639,63036,4602
1959,115329,68369,64630,3740
1960,117245,69628,65778,3852
1961,118771,70459,65746,4714
1962,120153,70614,66702,3911
1963,122416,71833,67762,4070
1964,124485,73091,69305,3786
1965,126513,74455,71088,3366
1966,128058,75770,72895,2875
1967,129874,77347,74372,2975
1968,132028,78737,75920,2817
1969,134335,80734,77902,2832
1970,137085,82771,78678,4093
1971,140216,84382,79367,5016
1972,144126,87034,82153,4882
1973,147096,89429,85064,4365
1974,150120,91949,86794,5156
1975,153153,93775,85846,7929
1976,156150,96158,88752,7406
1977,159033,99009,92017,6991
1978,161910,102251,96048,6202
1979,164863,104962,98824,6137
1980,167745,106940,99303,7637
1981,170130,108670,100397,8273
1982,172271,110204,99526,10678
1983,174215,111550,100834,10717
1984,176383,113544,105005,8539
1985,178206,115461,107150,8312
1986,180587,117834,109597,8237
1987,182753,119865,112440,7425
1988,184613,121669,114968,6701
1989,186393,123869,117342,6528
1990,189164,125840,118793,7047
1991,190925,126346,117718,8628
1992,192805,128105,118492,9613
1993,194838,129200,120259,8940
1994,196814,131056,123060,7996
1995,198584,132304,124900,7404
1996,200591,133943,126708,7236
1997,203133,136297,129558,6739
1998,205220,137673,131463,6210
1999,207753,139368,133488,5880
2000,212577,142583,136891,5692
2001,215092,143734,136933,6801
2002,217570,144863,136485,8378
2003,221168,146510,137736,8774
2004,223357,147401,139252,8149
2005,226082,149320,141730,7591
2006,228815,151428,144427,7001
2007,231867,153124,146047,7078
2008,233788,154287,145362,8924
2009,235801,154142,139877,14265
2010,237830,153889,139064,14825
2011,239618,153617,139869,13747
2012,243284,154975,142469,12506
2013,245679,155389,143929,11460
2014,247947,155922,146305,9617
2015,250801,157130,148834,8296
2016,253538,159187,151436,7751
2017,,160571,153439,7132
